Uniform Resource Identifier;;Naam;Toelichting voor programmeur;Data voorbeeld;Toelichting van Business;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftOmschrijvingstype; relatie; Heeft omschrijvingstype; De property heeftOmschrijvingstype legt de relatie tussen de omschrijving en de type omschrijving met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftOorspronkelijkeFunctie; relatie; Heeft oorspronkelijke functie; De property heeftOorspronkelijkeFunctie legt de relatie tussen een cultuurhistorisch object en de oorspronkelijke functie vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftPerceel; relatie; Heeft perceel; De property heeftPerceel legt de relatie tussen de basisregistratie en het perceel met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftPeriode; relatie; Heeft periode; De property heeftPeriode legt de relatie tussen de datering en de periode aanduiding met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftProvincie; relatie; Heeft provincie; De property heeftProvincie legt de relatie tussen het adres van een cultuurhistorisch object en de provincie waarin het cultuurhistorisch object zich bevindt.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftRecordhouder; relatie; Heeft recordhouder; De property heeftRecordhouder legt de relatie tussen de Kennisregistratie en de recordhouder vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftRegisteradres; relatie; Heeft registeradres; De property heeftRegisteradres legt de relatie tussen een rijksmonument en het registeradres vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftRegisternaam; relatie; Heeft registernaam; De property heeftRegisternaam legt de relatie tussen een complex of een rijksmonument en de naam in het register vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftRegisteromschrijving; relatie; Heeft registeromschrijving; De property heeftRegisteromschrijving legt de relatie tussen een complex of een rijksmonument en de omschrijving in het register vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftRegisterperceel; relatie; Heeft registerperceel; De property heeftRegisterPerceel legt de relatie tussen een rijksmonument en het perceel in het register vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftRepresentativiteit; relatie; Heeft representativiteit; De property heeftRepresentativiteit legt de relatie tussen de archeologische kwaliteit en de representativiteit met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftRol; relatie; Heeft rol; De property heeftRol legt de relatie tussen de ActorEnRol en de actor rol met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftSamenhang; relatie; Heeft samenhang; De property heeftSamenhang legt de samenhangende relatie tussen twee cultuurhistorische objecten vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftSchoonheid; relatie; Heeft schoonheid; De property heeftSchoonheid legt de relatie tussen de archeologische kwaliteit en de schoonheid met betrekking tot een cultuurhistorisch object vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftSitueringBijAdres; relatie; Heeft situering bij adres; De property heeftSitueringBijAdres legt de relatie tussen een rijksmonument dat geen verblijfsobject in de BAG is met een verblijfsobject in de BAG.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftSitueringTegenoverAdres; relatie; Heeft situering tegenover adres; De property heeftSitueringTegenoverAdres legt de relatie tussen een rijksmonument dat geen verblijfsobject in de BAG is met een verblijfsobject inde BAG.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftStijlEnCultuur; relatie; Heeft stijl en cultuur; De property heeftStijlEnCultuur legt de relatie tussen een cultuurhistorisch object en de stijl en cultuur vast.;;;;
 https://data.cultureelerfgoed.nl/vocab/def/ceo#heeftStijlEnCultuurNaam; relatie; Heeft stijl en cultuur naam; De property heeftStijlEnCultuur legt de relatie tussen de stijl en cultuur en de naam van de stijl en cultuur vast.;;;;
